column,true_type
animeID,quantitative
name,categorical
title_english,categorical
title_japanese,categorical
title_synonyms,categorical
type,categorical
source,categorical
producers,categorical
genre,categorical
studio,categorical
episodes,quantitative
status,categorical
airing,categorical
aired,temporal
duration,quantitative
rating,categorical
score,quantitative
scored_by,quantitative
rank,quantitative
popularity,quantitative
members,quantitative
favorites,quantitative
synopsis,categorical
background,categorical
premiered,temporal
broadcast,categorical
related,categorical
