column,true_type
VendorID,categorical
lpep_pickup_datetime,temporal
lpep_dropoff_datetime,temporal
store_and_fwd_flag,categorical
RatecodeID,categorical
PULocationID,geographic
DOLocationID,geographic
passenger_count,quantitative
trip_distance,quantitative
fare_amount,quantitative
extra,quantitative
mta_tax,quantitative
tip_amount,quantitative
tolls_amount,quantitative
improvement_surcharge,quantitative
total_amount,quantitative
payment_type,categorical
trip_type,categorical
congestion_surcharge,quantitative
PULocation,geographic
DOLocation,geographic
trip_duration,quantitative
trip_dissatisfaction,quantitative
month,categorical
weekday,categorical
season,categorical
