column,true_type
country_name,categorical
year,temporal
v2x_polyarchy,quantitative
v2x_libdem,quantitative
v2x_partipdem,quantitative
v2x_delibdem,quantitative
v2x_egaldem,quantitative
v2x_api,quantitative
v2x_mpi,quantitative
v2x_freexp_altinf,quantitative
v2x_frassoc_thick,quantitative
v2x_suffr,quantitative
v2xel_frefair,quantitative
v2x_elecoff,quantitative
v2x_liberal,quantitative
v2xcl_rol,quantitative
v2x_jucon,quantitative
v2xlg_legcon,quantitative
v2x_partip,quantitative
v2x_cspart,quantitative
v2xdd_dd,quantitative
v2xel_locelec,quantitative
v2xel_regelec,quantitative
v2xdl_delib,quantitative
v2x_egal,quantitative
v2xeg_eqprotec,quantitative
v2xeg_eqaccess,quantitative
v2xeg_eqdr,quantitative
v2elgvsuflvl,categorical
v2expathhg,categorical
v2elrstrct,categorical
v2ddcredal,categorical
v2exfemhog,categorical
v2elcomvot,categorical
v2elfemrst,categorical
v2ddlexci,categorical
e_regionpol_7C,geographic
e_regiongeo,geographic
