column,true_type
appid,categorical
name,categorical
release_date,temporal
required_age,categorical
price,quantitative
dlc_count,quantitative
detailed_description,categorical
about_the_game,categorical
short_description,categorical
reviews,categorical
header_image,categorical
website,categorical
support_url,categorical
support_email,categorical
windows,categorical
mac,categorical
linux,categorical
metacritic_score,quantitative
metacritic_url,categorical
achievements,quantitative
recommendations,quantitative
notes,categorical
supported_languages,categorical
full_audio_languages,categorical
packages,categorical
developers,categorical
publishers,categorical
categories,categorical
genres,categorical
screenshots,categorical
movies,categorical
user_score,quantitative
score_rank,categorical
positive,quantitative
negative,quantitative
estimated_owners,categorical
average_playtime_forever,quantitative
average_playtime_2weeks,quantitative
median_playtime_forever,quantitative
median_playtime_2weeks,quantitative
discount,quantitative
peak_ccu,quantitative
tags,categorical
pct_pos_total,quantitative
num_reviews_total,quantitative
pct_pos_recent,quantitative
num_reviews_recent,quantitative
