column,true_type
date,temporal
time,temporal
datetime,temporal
subject_race,categorical
subject_sex,categorical
subject_age,quantitative
department_name,categorical
arrest_made,categorical
citation_issued,categorical
warning_issued,categorical
outcome,categorical
contraband_found,categorical
contraband_drugs,categorical
contraband_weapons,categorical
frisk_performed,categorical
search_conducted,categorical
search_person,categorical
search_vehicle,categorical
search_basis,categorical
reason_for_frisk,categorical
reason_for_search,categorical
reason_for_stop,categorical
raw_Ethnicity,categorical
