dataset,column,guessed_type
games_march2025_cleaned.csv,appid,categorical
games_march2025_cleaned.csv,name,categorical
games_march2025_cleaned.csv,release_date,temporal
games_march2025_cleaned.csv,required_age,quantitative
games_march2025_cleaned.csv,price,quantitative
games_march2025_cleaned.csv,dlc_count,quantitative
games_march2025_cleaned.csv,detailed_description,categorical
games_march2025_cleaned.csv,about_the_game,categorical
games_march2025_cleaned.csv,short_description,categorical
games_march2025_cleaned.csv,reviews,categorical
games_march2025_cleaned.csv,header_image,categorical
games_march2025_cleaned.csv,website,categorical
games_march2025_cleaned.csv,support_url,categorical
games_march2025_cleaned.csv,support_email,categorical
games_march2025_cleaned.csv,windows,categorical
games_march2025_cleaned.csv,mac,categorical
games_march2025_cleaned.csv,linux,categorical
games_march2025_cleaned.csv,metacritic_score,quantitative
games_march2025_cleaned.csv,metacritic_url,categorical
games_march2025_cleaned.csv,achievements,quantitative
games_march2025_cleaned.csv,recommendations,quantitative
games_march2025_cleaned.csv,notes,categorical
games_march2025_cleaned.csv,supported_languages,categorical
games_march2025_cleaned.csv,full_audio_languages,categorical
games_march2025_cleaned.csv,packages,categorical
games_march2025_cleaned.csv,developers,categorical
games_march2025_cleaned.csv,publishers,categorical
games_march2025_cleaned.csv,categories,categorical
games_march2025_cleaned.csv,genres,categorical
games_march2025_cleaned.csv,screenshots,categorical
games_march2025_cleaned.csv,movies,categorical
games_march2025_cleaned.csv,user_score,quantitative
games_march2025_cleaned.csv,score_rank,categorical
games_march2025_cleaned.csv,positive,quantitative
games_march2025_cleaned.csv,negative,quantitative
games_march2025_cleaned.csv,estimated_owners,categorical
games_march2025_cleaned.csv,average_playtime_forever,temporal
games_march2025_cleaned.csv,average_playtime_2weeks,temporal
games_march2025_cleaned.csv,median_playtime_forever,temporal
games_march2025_cleaned.csv,median_playtime_2weeks,temporal
games_march2025_cleaned.csv,discount,quantitative
games_march2025_cleaned.csv,peak_ccu,quantitative
games_march2025_cleaned.csv,tags,categorical
games_march2025_cleaned.csv,pct_pos_total,quantitative
games_march2025_cleaned.csv,num_reviews_total,quantitative
games_march2025_cleaned.csv,pct_pos_recent,quantitative
games_march2025_cleaned.csv,num_reviews_recent,quantitative
Anime.csv,animeID,categorical
Anime.csv,name,categorical
Anime.csv,title_english,categorical
Anime.csv,title_japanese,categorical
Anime.csv,title_synonyms,categorical
Anime.csv,type,categorical
Anime.csv,source,categorical
Anime.csv,producers,categorical
Anime.csv,genre,categorical
Anime.csv,studio,categorical
Anime.csv,episodes,quantitative
Anime.csv,status,categorical
Anime.csv,airing,categorical
Anime.csv,aired,categorical
Anime.csv,duration,categorical
Anime.csv,rating,categorical
Anime.csv,score,quantitative
Anime.csv,scored_by,quantitative
Anime.csv,rank,categorical
Anime.csv,popularity,quantitative
Anime.csv,members,quantitative
Anime.csv,favorites,quantitative
Anime.csv,synopsis,categorical
Anime.csv,background,categorical
Anime.csv,premiered,categorical
Anime.csv,broadcast,categorical
Anime.csv,related,geographic
accident_data.csv,Accident_Index,categorical
accident_data.csv,1st_Road_Class,categorical
accident_data.csv,1st_Road_Number,quantitative
accident_data.csv,2nd_Road_Class,categorical
accident_data.csv,2nd_Road_Number,quantitative
accident_data.csv,Accident_Severity,categorical
accident_data.csv,Carriageway_Hazards,categorical
accident_data.csv,Date,temporal
accident_data.csv,Day_of_Week,temporal
accident_data.csv,Did_Police_Officer_Attend_Scene_of_Accident,categorical
accident_data.csv,Junction_Control,categorical
accident_data.csv,Junction_Detail,categorical
accident_data.csv,Latitude,geographic
accident_data.csv,Light_Conditions,categorical
accident_data.csv,Local_Authority_(District),categorical
accident_data.csv,Local_Authority_(Highway),categorical
accident_data.csv,Location_Easting_OSGR,quantitative
accident_data.csv,Location_Northing_OSGR,quantitative
accident_data.csv,Longitude,geographic
accident_data.csv,LSOA_of_Accident_Location,categorical
accident_data.csv,Number_of_Casualties,quantitative
accident_data.csv,Number_of_Vehicles,quantitative
accident_data.csv,Pedestrian_Crossing-Human_Control,categorical
accident_data.csv,Pedestrian_Crossing-Physical_Facilities,categorical
accident_data.csv,Police_Force,categorical
accident_data.csv,Road_Surface_Conditions,categorical
accident_data.csv,Road_Type,categorical
accident_data.csv,Special_Conditions_at_Site,categorical
accident_data.csv,Speed_limit,categorical
accident_data.csv,Time,temporal
accident_data.csv,Urban_or_Rural_Area,categorical
accident_data.csv,Weather_Conditions,categorical
accident_data.csv,Year,temporal
accident_data.csv,InScotland,categorical
athlete_events.csv,ID,categorical
athlete_events.csv,Name,categorical
athlete_events.csv,Sex,categorical
athlete_events.csv,Age,quantitative
athlete_events.csv,Height,quantitative
athlete_events.csv,Weight,quantitative
athlete_events.csv,Team,categorical
athlete_events.csv,NOC,categorical
athlete_events.csv,Games,categorical
athlete_events.csv,Year,temporal
athlete_events.csv,Season,categorical
athlete_events.csv,City,geographic
athlete_events.csv,Sport,categorical
athlete_events.csv,Event,categorical
athlete_events.csv,Medal,categorical
V-Dem-CY-Full+Others-v16.csv,country_name,geographic
V-Dem-CY-Full+Others-v16.csv,country_text_id,geographic
V-Dem-CY-Full+Others-v16.csv,country_id,geographic
V-Dem-CY-Full+Others-v16.csv,year,temporal
V-Dem-CY-Full+Others-v16.csv,historical_date,temporal
V-Dem-CY-Full+Others-v16.csv,project,categorical
V-Dem-CY-Full+Others-v16.csv,historical,categorical
V-Dem-CY-Full+Others-v16.csv,histname,categorical
V-Dem-CY-Full+Others-v16.csv,codingstart,quantitative
V-Dem-CY-Full+Others-v16.csv,codingend,quantitative
V-Dem-CY-Full+Others-v16.csv,codingstart_contemp,quantitative
V-Dem-CY-Full+Others-v16.csv,codingend_contemp,categorical
V-Dem-CY-Full+Others-v16.csv,codingstart_hist,quantitative
V-Dem-CY-Full+Others-v16.csv,codingend_hist,quantitative
V-Dem-CY-Full+Others-v16.csv,gapstart1,quantitative
V-Dem-CY-Full+Others-v16.csv,gapstart2,categorical
V-Dem-CY-Full+Others-v16.csv,gapstart3,categorical
V-Dem-CY-Full+Others-v16.csv,gapend1,quantitative
V-Dem-CY-Full+Others-v16.csv,gapend2,categorical
V-Dem-CY-Full+Others-v16.csv,gapend3,categorical
V-Dem-CY-Full+Others-v16.csv,gap_index,quantitative
V-Dem-CY-Full+Others-v16.csv,COWcode,categorical
V-Dem-CY-Full+Others-v16.csv,v2x_polyarchy,quantitative
V-Dem-CY-Full+Others-v16.csv,v2x_polyarchy_codelow,categorical
V-Dem-CY-Full+Others-v16.csv,v2x_polyarchy_codehigh,categorical
V-Dem-CY-Full+Others-v16.csv,v2x_polyarchy_sd,quantitative
V-Dem-CY-Full+Others-v16.csv,v2x_libdem,quantitative
V-Dem-CY-Full+Others-v16.csv,v2x_libdem_codelow,categorical
V-Dem-CY-Full+Others-v16.csv,v2x_libdem_codehigh,categorical
V-Dem-CY-Full+Others-v16.csv,v2x_libdem_sd,quantitative
V-Dem-CY-Full+Others-v16.csv,v2x_partipdem,quantitative
V-Dem-CY-Full+Others-v16.csv,v2x_partipdem_codelow,categorical
V-Dem-CY-Full+Others-v16.csv,v2x_partipdem_codehigh,categorical
