column,true_type
listing_id,categorical
name,categorical
host_id,categorical
host_since,temporal
host_location,geographic
host_response_time,categorical
host_response_rate,quantitative
host_acceptance_rate,quantitative
host_is_superhost,categorical
host_total_listings_count,quantitative
host_has_profile_pic,categorical
host_identity_verified,categorical
neighbourhood,geographic
district,geographic
city,geographic
latitude,geographic
longitude,geographic
property_type,categorical
room_type,categorical
accommodates,quantitative
bedrooms,quantitative
amenities,categorical
price,quantitative
minimum_nights,quantitative
maximum_nights,quantitative
review_scores_rating,quantitative
review_scores_accuracy,quantitative
review_scores_cleanliness,quantitative
review_scores_checkin,quantitative
review_scores_communication,quantitative
review_scores_location,quantitative
review_scores_value,quantitative
instant_bookable,categorical
