column,true_type
YEAR,temporal
MONTH,temporal
DAY,temporal
DAY_OF_WEEK,temporal
AIRLINE,categorical
FLIGHT_NUMBER,categorical
TAIL_NUMBER,categorical
ORIGIN_AIRPORT,geographic
DESTINATION_AIRPORT,geographic
SCHEDULED_DEPARTURE,temporal
DEPARTURE_TIME,temporal
DEPARTURE_DELAY,quantitative
TAXI_OUT,quantitative
WHEELS_OFF,temporal
SCHEDULED_TIME,quantitative
ELAPSED_TIME,quantitative
AIR_TIME,quantitative
DISTANCE,quantitative
WHEELS_ON,temporal
TAXI_IN,quantitative
SCHEDULED_ARRIVAL,temporal
ARRIVAL_TIME,temporal
ARRIVAL_DELAY,quantitative
DIVERTED,categorical
CANCELLED,categorical
CANCELLATION_REASON,categorical
AIR_SYSTEM_DELAY,quantitative
SECURITY_DELAY,quantitative
AIRLINE_DELAY,quantitative
LATE_AIRCRAFT_DELAY,quantitative
WEATHER_DELAY,quantitative
