column,true_type
Description,categorical
Name,categorical
year,temporal
iso_code,geographic
population,quantitative
gdp,quantitative
cement_co2,quantitative
cement_co2_per_capita,quantitative
co2,quantitative
co2_growth_abs,quantitative
co2_growth_prct,quantitative
co2_including_luc,quantitative
co2_including_luc_growth_abs,quantitative
co2_including_luc_growth_prct,quantitative
co2_including_luc_per_capita,quantitative
co2_including_luc_per_gdp,quantitative
co2_including_luc_per_unit_energy,quantitative
co2_per_capita,quantitative
co2_per_gdp,quantitative
co2_per_unit_energy,quantitative
coal_co2,quantitative
coal_co2_per_capita,quantitative
consumption_co2,quantitative
consumption_co2_per_capita,quantitative
consumption_co2_per_gdp,quantitative
cumulative_cement_co2,quantitative
cumulative_co2,quantitative
cumulative_co2_including_luc,quantitative
cumulative_coal_co2,quantitative
cumulative_flaring_co2,quantitative
cumulative_gas_co2,quantitative
cumulative_luc_co2,quantitative
cumulative_oil_co2,quantitative
cumulative_other_co2,quantitative
energy_per_capita,quantitative
energy_per_gdp,quantitative
flaring_co2,quantitative
flaring_co2_per_capita,quantitative
gas_co2,quantitative
gas_co2_per_capita,quantitative
ghg_excluding_lucf_per_capita,quantitative
ghg_per_capita,quantitative
land_use_change_co2,quantitative
land_use_change_co2_per_capita,quantitative
methane,quantitative
methane_per_capita,quantitative
nitrous_oxide,quantitative
nitrous_oxide_per_capita,quantitative
oil_co2,quantitative
oil_co2_per_capita,quantitative
other_co2_per_capita,quantitative
other_industry_co2,quantitative
primary_energy_consumption,quantitative
share_global_cement_co2,quantitative
share_global_co2,quantitative
share_global_co2_including_luc,quantitative
share_global_coal_co2,quantitative
share_global_cumulative_cement_co2,quantitative
share_global_cumulative_co2,quantitative
share_global_cumulative_co2_including_luc,quantitative
share_global_cumulative_coal_co2,quantitative
share_global_cumulative_flaring_co2,quantitative
share_global_cumulative_gas_co2,quantitative
share_global_cumulative_luc_co2,quantitative
share_global_cumulative_oil_co2,quantitative
share_global_cumulative_other_co2,quantitative
share_global_flaring_co2,quantitative
share_global_gas_co2,quantitative
share_global_luc_co2,quantitative
share_global_oil_co2,quantitative
share_global_other_co2,quantitative
share_of_temperature_change_from_ghg,quantitative
temperature_change_from_ch4,quantitative
temperature_change_from_co2,quantitative
temperature_change_from_ghg,quantitative
temperature_change_from_n2o,quantitative
total_ghg,quantitative
total_ghg_excluding_lucf,quantitative
trade_co2,quantitative
trade_co2_share,quantitative
