column,true_type
eventid,categorical
iyear,temporal
imonth,temporal
iday,temporal
approxdate,temporal
extended,categorical
resolution,temporal
country,geographic
country_txt,geographic
region,geographic
region_txt,geographic
provstate,geographic
city,geographic
latitude,geographic
longitude,geographic
specificity,categorical
vicinity,categorical
location,geographic
summary,categorical
crit1,categorical
crit2,categorical
crit3,categorical
doubtterr,categorical
alternative,categorical
alternative_txt,categorical
multiple,categorical
success,categorical
suicide,categorical
attacktype1,categorical
attacktype1_txt,categorical
attacktype2,categorical
attacktype2_txt,categorical
attacktype3,categorical
attacktype3_txt,categorical
targtype1,categorical
targtype1_txt,categorical
targsubtype1,categorical
targsubtype1_txt,categorical
corp1,categorical
target1,categorical
natlty1,geographic
natlty1_txt,geographic
targtype2,categorical
targtype2_txt,categorical
targsubtype2,categorical
targsubtype2_txt,categorical
corp2,categorical
target2,categorical
natlty2,geographic
natlty2_txt,geographic
targtype3,categorical
targtype3_txt,categorical
targsubtype3,categorical
targsubtype3_txt,categorical
corp3,categorical
target3,categorical
natlty3,geographic
natlty3_txt,geographic
gname,categorical
gsubname,categorical
gname2,categorical
gsubname2,categorical
gname3,categorical
gsubname3,categorical
motive,categorical
guncertain1,categorical
guncertain2,categorical
guncertain3,categorical
individual,categorical
nperps,quantitative
nperpcap,quantitative
claimed,categorical
claimmode,categorical
claimmode_txt,categorical
claim2,categorical
claimmode2,categorical
claimmode2_txt,categorical
claim3,categorical
claimmode3,categorical
claimmode3_txt,categorical
compclaim,categorical
weaptype1,categorical
weaptype1_txt,categorical
weapsubtype1,categorical
weapsubtype1_txt,categorical
weaptype2,categorical
weaptype2_txt,categorical
weapsubtype2,categorical
weapsubtype2_txt,categorical
weaptype3,categorical
weaptype3_txt,categorical
weapsubtype3,categorical
weapsubtype3_txt,categorical
weaptype4,categorical
weaptype4_txt,categorical
weapsubtype4,categorical
weapsubtype4_txt,categorical
weapdetail,categorical
nkill,quantitative
nkillus,quantitative
nkillter,quantitative
nwound,quantitative
nwoundus,quantitative
nwoundte,quantitative
property,categorical
propextent,categorical
propextent_txt,categorical
propvalue,quantitative
propcomment,categorical
ishostkid,categorical
nhostkid,quantitative
nhostkidus,quantitative
nhours,quantitative
ndays,quantitative
divert,geographic
kidhijcountry,geographic
ransom,categorical
ransomamt,quantitative
ransomamtus,quantitative
ransompaid,quantitative
ransompaidus,quantitative
ransomnote,categorical
hostkidoutcome,categorical
hostkidoutcome_txt,categorical
nreleased,quantitative
addnotes,categorical
scite1,categorical
scite2,categorical
scite3,categorical
dbsource,categorical
INT_LOG,categorical
INT_IDEO,categorical
INT_MISC,categorical
INT_ANY,categorical
related,categorical
