column,true_type
country,geographic
location_name,geographic
latitude,geographic
longitude,geographic
timezone,categorical
last_updated_epoch,temporal
last_updated,temporal
temperature_celsius,quantitative
temperature_fahrenheit,quantitative
condition_text,categorical
wind_mph,quantitative
wind_kph,quantitative
wind_degree,quantitative
wind_direction,categorical
pressure_mb,quantitative
pressure_in,quantitative
precip_mm,quantitative
precip_in,quantitative
humidity,quantitative
cloud,quantitative
feels_like_celsius,quantitative
feels_like_fahrenheit,quantitative
visibility_km,quantitative
visibility_miles,quantitative
uv_index,quantitative
gust_mph,quantitative
gust_kph,quantitative
air_quality_Carbon_Monoxide,quantitative
air_quality_Ozone,quantitative
air_quality_Nitrogen_dioxide,quantitative
air_quality_Sulphur_dioxide,quantitative
air_quality_PM2.5,quantitative
air_quality_PM10,quantitative
air_quality_us-epa-index,categorical
air_quality_gb-defra-index,categorical
sunrise,temporal
sunset,temporal
moonrise,temporal
moonset,temporal
moon_phase,categorical
moon_illumination,quantitative
