column,true_type
storm_id,categorical
storm_name,categorical
num_of_obs,quantitative
date,temporal
time,temporal
record_identifier,categorical
status_of_system,categorical
latitude,geographic
longitude,geographic
maximum_sustained_wind_knots,quantitative
central_pressure_mb,quantitative
34_kt_ne_nm,quantitative
34_kt_se_nm,quantitative
34_kt_sw_nm,quantitative
34_kt_nw_nm,quantitative
50_kt_ne_nm,quantitative
50_kt_se_nm,quantitative
50_kt_sw_nm,quantitative
50_kt_nw_nm,quantitative
64_kt_ne_nm,quantitative
64_kt_se_nm,quantitative
64_kt_sw_nm,quantitative
64_kt_nw_nm,quantitative
radius_of_max_wind_nm,quantitative
