column,true_type
raw_row_number,quantitative
date,temporal
time,temporal
location,geographic
county_name,geographic
subject_age,quantitative
subject_race,categorical
subject_sex,categorical
officer_id_hash,categorical
department_name,categorical
type,categorical
arrest_made,categorical
citation_issued,categorical
warning_issued,categorical
outcome,categorical
contraband_found,categorical
contraband_drugs,categorical
contraband_weapons,categorical
frisk_performed,categorical
search_conducted,categorical
search_person,categorical
search_vehicle,categorical
search_basis,categorical
reason_for_frisk,categorical
reason_for_search,categorical
reason_for_stop,categorical
raw_Ethnicity,categorical
raw_Race,categorical
raw_action_description,categorical
