column,true_type
BEGIN_YEARMONTH,temporal
BEGIN_DAY,temporal
BEGIN_TIME,temporal
END_YEARMONTH,temporal
END_DAY,temporal
END_TIME,temporal
EPISODE_ID,categorical
EVENT_ID,categorical
STATE,geographic
STATE_FIPS,geographic
YEAR,temporal
MONTH_NAME,temporal
EVENT_TYPE,categorical
CZ_TYPE,categorical
CZ_FIPS,geographic
CZ_NAME,geographic
WFO,categorical
BEGIN_DATE_TIME,temporal
CZ_TIMEZONE,categorical
END_DATE_TIME,temporal
INJURIES_DIRECT,quantitative
INJURIES_INDIRECT,quantitative
DEATHS_DIRECT,quantitative
DEATHS_INDIRECT,quantitative
DAMAGE_PROPERTY,quantitative
DAMAGE_CROPS,quantitative
SOURCE,categorical
MAGNITUDE,quantitative
MAGNITUDE_TYPE,categorical
FLOOD_CAUSE,categorical
CATEGORY,categorical
TOR_F_SCALE,categorical
TOR_LENGTH,quantitative
TOR_WIDTH,quantitative
TOR_OTHER_WFO,categorical
TOR_OTHER_CZ_STATE,geographic
TOR_OTHER_CZ_FIPS,geographic
TOR_OTHER_CZ_NAME,geographic
BEGIN_RANGE,quantitative
BEGIN_AZIMUTH,categorical
BEGIN_LOCATION,geographic
END_RANGE,quantitative
END_AZIMUTH,categorical
END_LOCATION,geographic
BEGIN_LAT,geographic
BEGIN_LON,geographic
END_LAT,geographic
END_LON,geographic
EPISODE_NARRATIVE,categorical
EVENT_NARRATIVE,categorical
DATA_SOURCE,categorical
