column,true_type
ID,categorical
Source,categorical
Severity,categorical
Start_Time,temporal
End_Time,temporal
Start_Lat,geographic
Start_Lng,geographic
End_Lat,geographic
End_Lng,geographic
Distance(mi),quantitative
Description,categorical
Street,geographic
City,geographic
County,geographic
State,geographic
Zipcode,geographic
Country,geographic
Timezone,categorical
Airport_Code,categorical
Weather_Timestamp,temporal
Temperature(F),quantitative
Wind_Chill(F),quantitative
Humidity(%),quantitative
Pressure(in),quantitative
Visibility(mi),quantitative
Wind_Direction,categorical
Wind_Speed(mph),quantitative
Precipitation(in),quantitative
Weather_Condition,categorical
Amenity,categorical
Bump,categorical
Crossing,categorical
Give_Way,categorical
Junction,categorical
No_Exit,categorical
Railway,categorical
Roundabout,categorical
Station,categorical
Stop,categorical
Traffic_Calming,categorical
Traffic_Signal,categorical
Turning_Loop,categorical
Sunrise_Sunset,categorical
Civil_Twilight,categorical
Nautical_Twilight,categorical
Astronomical_Twilight,categorical
