column,true_type
Year_of_Study,temporal
Age,quantitative
Race,categorical
Education,categorical
Urban,categorical
Income_Group,categorical
Thermometer_Liberals,quantitative
Thermometer_Conservatives,quantitative
Thermometer_Gays_and_Lesbians,quantitative
Thermometer_Feminists,quantitative
Voting_Preference,categorical
State_Code_FIPS,geographic
State_Code,geographic
Income_Inequality,categorical
Income_Inequality_Change_Level,categorical
Gov_Econ_Policy_Rating,categorical
Unemployment_Past_Year,categorical
Unemployment_Past_Year_Change_Level,categorical
Unemployment_Next_Year,categorical
Thermometer_Business,quantitative
Thermometer_Labor_Union,quantitative
Thermometer_Middle_Class,quantitative
Thermometer_Welfare,quantitative
Thermometer_Poor,quantitative
